scenario;dayOfYear;chlorophyllA
coastal;5.659;1.311
coastal;14.696;1.182
coastal;9.048;1.236
coastal;20.344;1.142
coastal;25.427;1.107
coastal;31.074;1.067
coastal;37.852;1.022
coastal;44.064;0.995
coastal;49.712;0.942
coastal;54.795;0.893
coastal;60.443;0.844
coastal;65.526;0.804
coastal;69.479;0.768
coastal;73.998;0.720
coastal;77.951;0.688
coastal;81.622;0.655
coastal;86.423;0.604
coastal;94.047;0.537
coastal;101.107;0.475
coastal;108.167;0.419
coastal;115.509;0.381
coastal;124.263;0.339
coastal;131.040;0.313
coastal;136.688;0.292
coastal;153.067;0.261
coastal;168.881;0.235
coastal;183.565;0.208
coastal;197.684;0.190
coastal;210.674;0.172
coastal;221.970;0.146
coastal;236.089;0.128
coastal;243.996;0.115
coastal;255.856;0.097
coastal;265.458;0.146
coastal;276.753;0.217
coastal;287.484;0.284
coastal;296.521;0.346
coastal;304.992;0.399
coastal;314.593;0.457
coastal;318.547;0.479
coastal;319.676;0.573
coastal;323.065;0.688
coastal;326.454;0.822
coastal;328.713;0.960
coastal;333.231;1.093
coastal;335.490;1.227
coastal;338.879;1.360
coastal;342.268;1.471
coastal;344.527;1.565
coastal;345.656;1.640
coastal;348.480;1.725
coastal;351.304;1.663
coastal;354.693;1.614
coastal;357.517;1.565
coastal;361.470;1.511
coastal;365.424;1.462
coastal;0.576;1.396
innerShelf;0.718;1.657
innerShelf;8.483;1.556
innerShelf;20.908;1.422
innerShelf;14.131;1.480
innerShelf;27.686;1.373
innerShelf;34.463;1.311
innerShelf;40.676;1.262
innerShelf;46.888;1.204
innerShelf;51.407;1.120
innerShelf;57.054;1.022
innerShelf;63.267;0.938
innerShelf;70.044;0.831
innerShelf;73.433;0.782
innerShelf;77.951;0.737
innerShelf;80.493;0.711
innerShelf;84.446;0.668
innerShelf;86.705;0.653
innerShelf;90.094;0.615
innerShelf;96.589;0.557
innerShelf;102.801;0.497
innerShelf;110.991;0.442
innerShelf;117.486;0.406
innerShelf;124.545;0.359
innerShelf;131.605;0.317
innerShelf;136.688;0.292
innerShelf;153.067;0.261
innerShelf;168.881;0.235
innerShelf;183.565;0.208
innerShelf;197.684;0.190
innerShelf;210.674;0.172
innerShelf;221.970;0.146
innerShelf;236.089;0.128
innerShelf;243.996;0.115
innerShelf;255.856;0.097
innerShelf;265.458;0.146
innerShelf;275.906;0.246
innerShelf;283.531;0.306
innerShelf;290.873;0.368
innerShelf;299.062;0.428
innerShelf;304.616;0.474
innerShelf;309.699;0.517
innerShelf;314.405;0.544
innerShelf;317.794;0.588
innerShelf;323.253;0.818
innerShelf;326.077;0.959
innerShelf;329.089;1.100
innerShelf;331.725;1.226
innerShelf;334.361;1.361
innerShelf;336.432;1.469
innerShelf;338.691;1.576
innerShelf;339.820;1.666
innerShelf;342.832;1.779
innerShelf;345.092;1.866
innerShelf;346.974;1.944
innerShelf;350.739;1.944
innerShelf;356.387;1.843
innerShelf;360.717;1.780
innerShelf;1.706;1.658
innerShelf;66.091;0.889
innerShelf;347.727;1.978
innerShelf;365.235;1.720
outerShelf;0.483;0.954
outerShelf;6.224;0.938
outerShelf;16.390;0.880
outerShelf;10.554;0.910
outerShelf;22.979;0.863
outerShelf;29.380;0.839
outerShelf;35.216;0.820
outerShelf;42.558;0.793
outerShelf;47.830;0.778
outerShelf;53.854;0.754
outerShelf;60.066;0.740
outerShelf;68.726;0.705
outerShelf;72.492;0.686
outerShelf;75.504;0.664
outerShelf;77.951;0.636
outerShelf;80.398;0.616
outerShelf;83.411;0.587
outerShelf;85.858;0.556
outerShelf;90.000;0.517
outerShelf;97.154;0.456
outerShelf;102.801;0.404
outerShelf;108.449;0.367
outerShelf;116.544;0.335
outerShelf;121.816;0.301
outerShelf;130.476;0.257
outerShelf;137.912;0.237
outerShelf;160.785;0.226
outerShelf;183.565;0.208
outerShelf;197.684;0.190
outerShelf;210.674;0.172
outerShelf;221.970;0.146
outerShelf;236.089;0.128
outerShelf;243.996;0.115
outerShelf;255.856;0.097
outerShelf;265.458;0.146
outerShelf;276.377;0.189
outerShelf;284.095;0.227
outerShelf;294.826;0.278
outerShelf;303.863;0.321
outerShelf;314.405;0.373
outerShelf;317.417;0.386
outerShelf;320.241;0.441
outerShelf;324.195;0.537
outerShelf;329.843;0.662
outerShelf;335.114;0.782
outerShelf;339.067;0.868
outerShelf;341.138;0.917
outerShelf;343.021;0.964
outerShelf;345.280;1.021
outerShelf;348.104;1.084
outerShelf;346.974;1.054
outerShelf;351.681;1.066
outerShelf;354.128;1.049
outerShelf;355.822;1.035
outerShelf;358.646;1.015
outerShelf;360.905;0.998
outerShelf;362.600;0.988
outerShelf;1.141;0.952
outerShelf;64.020;0.722
outerShelf;357.517;1.022
outerShelf;365.235;0.970
outerShelf;173.587;0.214
iceAlgae;98.404;0.071
iceAlgae;107.554;0.042
iceAlgae;116.187;0.065
iceAlgae;124.632;0.018
iceAlgae;133.266;0.042
iceAlgae;142.649;0.065
iceAlgae;151.470;0.065
iceAlgae;159.540;0.018
iceAlgae;166.672;0.018
iceAlgae;177.182;0.778
iceAlgae;186.003;1.349
iceAlgae;194.824;2.062
iceAlgae;202.331;2.561
iceAlgae;208.712;3.250
iceAlgae;216.031;3.892
iceAlgae;222.788;4.510
iceAlgae;227.480;5.199
iceAlgae;231.045;6.435
iceAlgae;234.424;7.552
iceAlgae;237.614;8.574
iceAlgae;240.805;9.691
iceAlgae;242.869;10.404
iceAlgae;246.435;11.355
iceAlgae;248.687;12.163
iceAlgae;251.502;13.185
iceAlgae;254.317;14.159
iceAlgae;257.883;14.967
iceAlgae;261.449;15.573
iceAlgae;264.827;16.179
iceAlgae;268.393;16.809
iceAlgae;272.147;17.475
iceAlgae;276.369;18.105
iceAlgae;280.217;18.841
iceAlgae;283.220;19.317
iceAlgae;286.973;19.792
iceAlgae;294.199;19.816
iceAlgae;300.298;19.804
iceAlgae;307.712;19.816
iceAlgae;314.609;19.768
iceAlgae;317.424;19.786
iceAlgae;318.550;19.020
iceAlgae;319.535;18.271
iceAlgae;320.802;17.487
iceAlgae;322.632;16.827
iceAlgae;323.899;15.882
iceAlgae;325.869;14.777
iceAlgae;327.277;13.922
iceAlgae;327.840;13.226
iceAlgae;329.107;12.478
iceAlgae;330.655;11.480
iceAlgae;331.922;10.784
iceAlgae;332.907;9.947
iceAlgae;334.456;9.055
iceAlgae;336.004;8.217
iceAlgae;336.708;7.415
iceAlgae;338.115;6.578
iceAlgae;339.664;5.686
iceAlgae;341.071;4.724
iceAlgae;342.619;3.708
iceAlgae;344.027;2.888
iceAlgae;345.294;2.139
iceAlgae;346.701;1.301
iceAlgae;347.968;0.624
iceAlgae;348.954;0.143
iceAlgae;353.458;0
iceAlgae;358.103;0
iceAlgae;363.311;0
iceAlgae;364.859;0
iceAlgae;0.578;0
iceAlgae;8.272;0
iceAlgae;16.718;0
iceAlgae;27.040;0
iceAlgae;36.612;0
iceAlgae;47.122;0
iceAlgae;56.881;0
iceAlgae;67.015;0
iceAlgae;76.587;0
iceAlgae;87.285;0
iceAlgae;93.853;0
iceAlgae;365.859;0