type;length;dgr
dgr0deg;3.789;0.202
dgr0deg;5.184;0.196
dgr0deg;6.868;0.191
dgr0deg;8.763;0.183
dgr0deg;10.096;0.178
dgr0deg;11.500;0.173
dgr0deg;12.904;0.168
dgr0deg;14.447;0.162
dgr0deg;15.851;0.157
dgr0deg;17.395;0.152
dgr0deg;19.079;0.145
dgr0deg;20.693;0.139
dgr0deg;21.886;0.134
dgr0deg;23.360;0.128
dgr0deg;24.833;0.122
dgr0deg;26.237;0.118
dgr0deg;27.430;0.113
dgr0deg;28.974;0.108
dgr0deg;30.307;0.102
dgr0deg;31.640;0.097
dgr0deg;33.114;0.092
dgr0deg;34.588;0.086
dgr0deg;35.921;0.081
dgr0deg;37.325;0.076
dgr0deg;38.658;0.072
dgr0deg;39.991;0.066
dgr0deg;41.254;0.061
dgr0deg;42.798;0.056
dgr0deg;44.553;0.049
dgr0deg;46.237;0.043
dgr0deg;48.202;0.036
dgr0deg;49.746;0.029
dgr0deg;51.570;0.024
dgr0deg;52.974;0.018
dgr0deg;54.447;0.013
dgr0deg;55.991;0.007
dgr0deg;57.325;0.002
dgr5deg;3.921;0.336
dgr5deg;6.237;0.320
dgr5deg;7.851;0.309
dgr5deg;9.956;0.296
dgr5deg;11.711;0.284
dgr5deg;13.746;0.273
dgr5deg;15.991;0.258
dgr5deg;18.096;0.245
dgr5deg;20.132;0.232
dgr5deg;22.096;0.220
dgr5deg;24.623;0.204
dgr5deg;26.728;0.190
dgr5deg;28.553;0.178
dgr5deg;30.939;0.164
dgr5deg;32.482;0.154
dgr5deg;34.798;0.140
dgr5deg;36.482;0.127
dgr5deg;39.289;0.110
dgr5deg;41.605;0.097
dgr5deg;43.360;0.083
dgr5deg;45.395;0.073
dgr5deg;47.430;0.058
dgr5deg;49.605;0.046
dgr5deg;50.868;0.037
dgr5deg;52.693;0.025
dgr5deg;54.658;0.013
dgr5deg;56.272;0.003