time;length
0;10
0.048;11.440
0.108;13.040
0.140;14.320
0.197;15.920
0.258;17.600
0.306;18.480
0.354;19.360
0.420;20.000
0.481;20.800
0.545;20.800
0.611;20.560
0.669;20.400
0.729;20.960
0.809;22.000
0.863;23.280
0.892;25.120
0.914;27.040
0.946;29.280
0.975;31.360
0.997;33.200
1.025;35.600
1.064;37.920
1.108;39.520
1.143;40.640
1.204;41.840
1.277;42.400
1.360;42.960
1.439;42.960
1.525;43.040
1.602;43.040
1.653;43.040
1.704;43.040
1.758;43.440
1.815;44.480
1.863;45.840
1.911;47.280
1.962;49.040
2.010;50.480
2.076;51.600
2.166;52.480
2.229;52.640
2.328;52.800
2.414;52.960
2.516;52.960
2.599;53.040
2.666;52.960
2.771;53.120
2.850;53.760
2.939;54.720
3.003;55.520
3.076;56.160
3.134;56.480
3.229;56.640
3.334;56.800
3.506;56.800
3.640;56.880
3.771;56.880
3.876;57.440
3.959;57.920
4.041;58.640
4.143;58.880
4.303;59.040
4.433;58.960
4.599;59.120
4.745;59.200
4.860;59.360
4.962;60.000
5.089;60.560
5.229;60.560
5.382;60.720
5.519;60.720
5.627;60.640
5.755;60.640
5.876;61.120
5.975;61.440
-0.003;30.320
0.025;32.000
0.064;34.240
0.111;36.160
0.150;37.440
0.197;38.480
0.283;39.680
0.414;40.160
0.522;40.320
0.640;40.320
0.732;40.320
0.783;41.200
0.834;42.560
0.866;44.000
0.927;46.080
0.946;47.520
0.987;48.880
1.035;49.920
1.099;51.040
1.172;51.760
1.261;52.000
1.360;52.080
1.471;52.160
1.621;52.240
1.723;52.240
1.828;52.800
1.901;53.600
1.959;54.400
2.029;55.440
2.131;56.160
2.217;56.160
2.325;56.320
2.500;56.400
2.656;56.400
2.815;56.720
2.939;57.520
3.051;58.400
3.175;58.800
3.315;58.720
3.433;58.960
3.694;59.040
3.822;58.960
3.955;59.680
4.070;60.240
4.232;60.480
4.376;60.560
4.573;60.640
4.758;60.560
4.879;60.800
5.041;61.600
5.229;61.840
5.408;61.760
5.615;61.840
5.783;61.920
5.933;62.240
0.000;50.240
0.073;51.280
0.226;52.560
0.392;52.720
0.561;52.720
0.710;52.800
0.844;53.440
0.936;54.560
1.045;55.920
1.162;56.480
1.290;56.720
1.427;56.800
1.570;56.800
1.732;56.800
1.854;57.200
1.962;58.000
2.064;58.640
2.172;58.880
2.309;59.040
2.465;59.120
2.618;59.120
2.748;59.040
2.889;59.600
3.006;60.160
3.121;60.640
3.255;60.720
3.385;60.720
3.506;60.720
3.653;60.800
3.764;60.800
3.873;60.960
3.990;61.600
4.086;61.760
4.204;62.000
4.382;62.080
4.522;62.000
4.646;62.000
4.780;62.160
4.895;62.240
5.032;62.800
5.156;63.040
5.299;63.040
5.433;63.040
5.535;63.040
5.653;63.040
5.764;63.120